"","weeks","year","Temperature","sd"
"1","first week","2003",23.6213820729974,1.0210458332525
"2","first week","2003",23.9766216283048,1.0210458332525
"3","first week","2003",24.0348376097072,1.0210458332525
"4","first week","2003",23.9504547115792,1.0210458332525
"5","first week","2003",24.3263787000902,1.0210458332525
"6","first week","2003",24.4961050052458,1.0210458332525
"7","first week","2003",24.54659410354,1.0210458332525
"8","second week","2003",24.3610883900338,1.0210458332525
"9","second week","2003",24.8201615135264,1.0210458332525
"10","second week","2003",24.9454507131882,1.0210458332525
"11","second week","2003",24.4571047852805,1.0210458332525
"12","second week","2003",24.2226154639623,1.0210458332525
"13","second week","2003",24.9087930276244,1.0210458332525
"14","second week","2003",24.8124502790881,1.0210458332525
"15","third week","2003",24.7310211688598,1.0210458332525
"16","third week","2003",25.0220393651173,1.0210458332525
"17","third week","2003",24.3311321575786,1.0210458332525
"18","third week","2003",25.2258800886458,1.0210458332525
"19","third week","2003",25.2989380975157,1.0210458332525
"20","third week","2003",25.2419367837306,1.0210458332525
"21","fourth week","2003",25.691075647588,1.0210458332525
"22","fourth week","2003",25.9728853978891,1.0210458332525
"23","fourth week","2003",26.1422377707719,1.0210458332525
"24","fourth week","2003",26.5880660723771,1.0210458332525
"25","fourth week","2003",26.7119329226064,1.0210458332525
"26","fourth week","2003",26.5430369603649,1.0210458332525
"27","fourth week","2003",26.2908197327762,1.0210458332525
"28","fourth week","2003",25.8535432623058,1.0210458332525
"29","fourth week","2003",25.9743094969483,1.0210458332525
"30","fourth week","2003",26.6203058252232,1.0210458332525
"31","fourth week","2003",26.6094306468884,1.0210458332525
"32","first week","2004",24.9441327020626,1.0210458332525
"33","first week","2004",25.2107103555855,1.0210458332525
"34","first week","2004",25.3814000203406,1.0210458332525
"35","first week","2004",25.2354141962389,1.0210458332525
"36","first week","2004",25.4535924028443,1.0210458332525
"37","first week","2004",25.4748163018189,1.0210458332525
"38","first week","2004",25.726990394954,1.0210458332525
"39","second week","2004",25.6534386369215,1.0210458332525
"40","second week","2004",25.8656982367319,1.0210458332525
"41","second week","2004",25.9739191725241,1.0210458332525
"42","second week","2004",26.1711847931148,1.0210458332525
"43","second week","2004",26.2597757994526,1.0210458332525
"44","second week","2004",26.2651133785461,1.0210458332525
"45","second week","2004",26.315760712352,1.0210458332525
"46","third week","2004",26.4783973634086,1.0210458332525
"47","third week","2004",26.5322139738879,1.0210458332525
"48","third week","2004",26.5699916841067,1.0210458332525
"49","third week","2004",26.3137812870863,1.0210458332525
"50","third week","2004",25.9419311016537,1.0210458332525
"51","third week","2004",26.0610800220235,1.0210458332525
"52","fourth week","2004",26.0948932043088,1.0210458332525
"53","fourth week","2004",25.8402411378252,1.0210458332525
"54","fourth week","2004",25.8584685615743,1.0210458332525
"55","fourth week","2004",26.0654445286697,1.0210458332525
"56","fourth week","2004",26.0905927348021,1.0210458332525
"57","fourth week","2004",26.124246374315,1.0210458332525
